,Jobs,Company,Location,Summary,Description,Posted on,Job Url,Salary
783,Executive CSC,bajajallianz,"Hazaribag, Jharkhand",High Level of Engagement with Rural Authorized Persons (RAPs) and Village Level Entrepreneurs (VLEs) by visiting them round the month.,"Responsible for Rural and Urban insurance sales though network of RAP
High Level of Engagement with Rural Authorized Persons (RAPs) and Village Level Entrepreneurs (VLEs) by visiting them round the month
Handling the whole sales process with personal sales targets
Organizing District level workshop for VLE and RAPs
Responsible for Training and Motivation to CSC-VLE for successful IRDAI Examination completion
Liasoning with CSC e District Managers (eDM) across state.
Constantly searching for new VLEs and their conversion into Raps
Scheduling Sales calls and meeting with CSC-VLE/RAPs/eDMs
Following Competitors Actions and Activities and suitable actions accordingly
Interdepartmental coordination to ensure smooth operations and claims experience to customers",9 days ago,www.indeed.co.in/rc/clk?jk=c8abea8a2800c882&fccid=7406c8defa74db44&vjs=3,Not mentioned
784,Purchasing Support Intern,Pure Natural Products,"Delhi, Delhi","Gain experience of growing e-commerce industry.
The job will require you to utilize internal software and programs in order to thoroughly gather and organize…","This position will work closely with the purchasing department and ordering team. The job will require you to utilize internal software and programs in order to thoroughly gather and organize data for the ordering team
Requirements
Must be a Management Student – pursuing MBA
Must be able to work well independently as well as part of team.
Business major preferred
Applicants must be currently authorized to work in the India for any employer.
Educational Benefits
Will gain the real knowledge of commercial
Development of strong negotiation skills
Gain experience of growing e-commerce industry",30+ days ago,www.indeed.co.in/rc/clk?jk=e163718ced522f80&fccid=a40c98950b40df32&vjs=3,Not mentioned
785,BI & Visualization,FICUS VENTURES,"Borivali, Mumbai, Maharashtra","Experiences in working with Tableau, Qlik, PowerBI and generating reports from the same.
Interact with end user to understand reporting in order to design the…","Skills : big data, hadoop, tableau, etl, data warehouse, data integration, data mart, data management, data modeling, data modelling, business intelligence, visualization, power BI, Alteryx, tableau, qlik, hands on


Job Description :

– Assist the various business user in making faster and better-informed decisions by designing and developing a full-fledged BI solution to ensure the timely delivery of reports and dashboards.

– Expertise with at least 2+ years of hands on experience in data warehousing & date mart, BI and Visualisation Tools.

– Develop and implement procedures to extract data from other business systems

– Design, implement and operate complete data warehouses

– Plan flow of data between source systems, data warehouse and data mart

– Build Data warehouse process models which includes sourcing, loading, transforming and extracting

– Interact with end user to understand reporting in order to design the data warehouse/mart

– Preparation of technical and functional documentation

– Set standards in terms of organisation, structure, nomenclature for design of elements of data warehouse

– Support and troubleshoot in case of issues


Profile

– 2+ years hands on experience in BI, ETL, Data warehousing, integration and management

– Experience in data modelling in terms of conceptual, logical and physical model design

– Worked on integrating data warehouse with enterprise solution and other diverse systems

– Experiences in working with Tableau, Qlik, PowerBI and generating reports from the same",23 days ago,www.indeed.co.in/rc/clk?jk=56ab1355447b355f&fccid=f0f92f7e049c96e5&vjs=3,Not mentioned
786,"GIS Field worker/Mapper
new",Maulana Azad Medical College (MAMC),"New Delhi, Delhi","Proficiency in Hindi and sensitive to local culture, customs and beliefs.
Maulana Azad Medical College (MAMC) inviting applications for the project enitlted:…","Maulana Azad Medical College (MAMC) inviting applications for the project enitlted: The Development of a Health and Demographic Surveillance Site with focus on Epidemiological Survey of Dengue and Chikungunya in an Urban resettlement Colony and Slum in Delhi: a Prospective Observational Study, the posts are temporary & coterminous with the project
GIS Field worker/Mapper*
No. of post: 02
Monthly Salary: Rs.25,000/-
Essential Qualification:
1. 12th Class
Desirable:
1. Graduate in any discipline.
2. Prior experience in field data collection using electronic data collection system.
3. Proficiency in Hindi and sensitive to local culture, customs and beliefs.

Candidate Profile:

Graduate in any discipline.

Experience:1-2 Years
Location:New Delhi
Education:12th Class
Company:Maulana Azad Medical College (MAMC)
Role:GIS Field worker/Mapper
SALARY:Rs.25,000/-
Last Date:26 Jul 2020
Key Skills: Computers MS Office Telemedicine
Company details

Maulana Azad Medical College (MAMC)

2-B.S.Z Marg, New Delhi-110002, India",3 days ago,www.indeed.co.in/rc/clk?jk=2c7ca0484964c577&fccid=89661711624b06f3&vjs=3,"₹25,000 a month"
787,RBB-PB-WD,HDFC Bank,Haryana,Migrating branch customers to use our wide range of direct banking channels for various requests Ensure that the customer query are attended to and resolve the…,"Job Description
A.
Operations: Custodian of Deliverables at branch i.
e, Welcome Kit, Cheque Book, ATM/Debit cards, Tatkal Kits.
As a custodian, ensure: a.
Customers as per SMS failed report in DMS are contacted to collect their deliverables from branch b.
Delivery of deliverables to customers at branch.
obtaining necessary id documents of customer / obtaining customer acknowledgement in combined tally cum delivery register c.
Ensure Low stock of deliverables are retained at branches d.
EOD Stock tally of Physical deliverables held at branch vis-vis stock tally report (DMS) e.
Destruction of deliverables which have exceeded their retention period.
f.
Ensure proper record of destruction of deliverables is maintained g.
Ensure proper delivery of retained card to customers keeping the fresh transaction slip and ID proof.
h.
Proper maintenance of Tax saving FD receipt received at branch and its delivery to customers.
i.
Ensure FD/RD certificates kept in safe custody inside the FRFC or vault.
j.
Re ordering of the tatkal kits with appropriate approvals.
k.
Ensuring tatkal reconciliation in place for fortnightly basis.
Accepting and processing of customer instructions and requests at branch i.
e Processing stop payment/ hot-listing requests immediately upon receipt at branch.
Maintain inward and outward courier register for all deliverables / documents received at branch / dispatched from branch.
Monitoring and timely indenting of branch stationery (other than security stationery) as required.
Monitoring of FTS and clearing hold instruction.
Generating and downloading of all BOD reports / handing over the reports to concerned staff at branch.
Ensure that 5-S norms are adhered to for individuals workstation.
Satisfactory audit at Welcome Desk operations Updation of all Customer Instructions in FTS.
Account transfers & Closures with appropriate approvals.
Updation of all liability leads in CRM next.
Ensuring LTR & Welcome calling Review report in place on daily basis.
Updation in ECall back system Ensure that any unprocessed instruction will be updated in pending instruction register by EOD Ensure Regular knowledge updation is by reading and understanding circulars issued in gyan line.
Ensure to follow process for Pending customer instructions/forms B.
Customer Service: To handle branch queries i.
e balance enquiries / clearing of cheque deposits / charges levied to customers account Issuance of Passbook / Statement of Accounts against written customer request and ensuring recovery of charges Non-disclosure of customer information to any bearer / third party.
Migrating branch customers to use our wide range of direct banking channels for various requests Ensure that the customer query are attended to and resolve the same in an efficient manner and within stipulated TATs a.
Recording complaints as per the specified process b.
Ensure that complaints do not get escalated c.
Improve customer communication on closures through scripts & mails.
Preventive complaint management a.
Asking for feedback from customers on products/services offered by us.
Ensure the correct product information is disseminated Contacting customers using the database and thereby increasing the credit card activation/offer Limit Enhancement & Upgrade Providing the customer necessary with necessary forms / Brochures on request Ensure maintenance of queue Effective migration of customers from physical mode to Digital Platform.
Ensure that customers avail of our Direct Banking Channels a.
Registering them with various DBCs b.
Giving them demonstration on the usage of the same and input the leads in CRMNext.
c.
Actively manage uptime of the Net Banking/ATM kiosks in the branch d.
Carry targets for improving any one DBC penetration exclusive of ATM DBC Penetration and transaction migration financial as well as non-financial a.
Migrate customers to opt for statement delivery through E-mail/Net and diverting customers for email ID updation / landline details updation through Net.
b.
CH 126 Calling & updation in portal C.
Sales: Ensure sales targets assigned by the BM/PBA from time to time are achieved Ensure all eligible asset leads are routed through DAP.
a.
Ensuring compliance of KYC, identification of customer and communication of product eligibility b.
Ensure that a higher cross sell conversion is achieved through the above calling.
c.
Booking of FD / RD Online Generate sales leads for the branch Providing Demos to customers on payment using Pay Zapp, Purchase through Smart Buy Calling Band 1 and 2 customers: Band 1 and 2 to be called with a view to: a.
Increase the balances thereby improving their banding b.
Cross selling income generating product which can give us adequate revenue thereby moving the customers to Band 3 c.
Concentrating on customers who have a CNR of between 900 1000 and targeting them for improving the banding d.
Escalating to PB Auth / BM cases where the banding improvement is not possible / customer not co-operating for further measures.

Skills
2. Banking Product & Process Knowledge",19 days ago,www.indeed.co.in/rc/clk?jk=eca030744401f3c4&fccid=a6fab41a2a4262c5&vjs=3,Not mentioned
788,Junior Research Fellowship,IIT Kharagpur,"Kharagpur, West Bengal","To Apply for the job posting from IIT Kharagpur, please click on the Apply Now button below.
Last Date: 23-07-2020.
Post Name: Junior Research Fellowship.","IIT Kharagpur Recruitment 2020 - Junior Research Fellowship Vacancies - 31,000 Salary - Apply NowIIT Kharagpur Recruitment 2020-21: Employees State Insurance Corporation (IIT Kharagpur) announced Job notification to hire candidates who completed B.Tech/B.E,M.Sc for the position of Junior Research Fellowship. To Apply for the job posting from IIT Kharagpur, please click on the Apply Now button below.Company Name: IIT Kharagpur
Post Name: Junior Research Fellowship
No of Posts: 1
Salary: 31,000 (Per Month )
Experience: fresher
Education: B.Tech/B.E,M.Sc
Location: Kharagpur
Last Date: 23-07-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
Interested eligible persons may apply (quote SRIC Reference on the top of the Application) on plain paper giving full bio-data along with attested copies of testimonials and a demand draft of the application fee drawn in favour of IIT Kharagpur payable at Kharagpur on or before last date mentioned against each.Interested Candidates Can Be Apply on or Before The Last Date: 23-Jul-2020",14 days ago,www.indeed.co.in/rc/clk?jk=1b7fffe05b22c507&fccid=33af0960d0297b67&vjs=3,"₹31,000 a month"
789,Safety Supervisor,NIFS India,"Manuguru, Andhra Pradesh","Safety Supervisor Minimum of 2 years Manuguru, Vijayawada.
B.Tech with safety certification 20,000 + Accommodation and Other allowances.","Safety Supervisor Minimum of 2 years Manuguru, Vijayawada

B.Tech with safety certification 20,000 + Accommodation and Other allowances",18 days ago,www.indeed.co.in/rc/clk?jk=936e8da0cc89b29c&fccid=cf81a4a47784772c&vjs=3,"₹20,000 a month"
790,"Field Worker
new",National Institute For Interdisciplinary Science A...,India,"(To conduct clay beneficiation and Bleaching studies).
Applications are invited from suitable candidates in the prescribed format (appended below) for filling…","Applications are invited from suitable candidates in the prescribed format (appended below) for filling up the following purely temporary positions in this institute:
Post code: MSTD-5
Field Worker
No. of posts: 01
Qualification: B.Sc. Chemistry from a recognized University or equivalent
(To conduct clay beneficiation and Bleaching studies).
Monthly Stipend: Rs.18,000/- + HRA
Maximum age limit: 50 years

Experience:0-5 Years
Location:Thrivananthapuram
Education:B.Sc. Chemistry
Company:National Institute For Interdisciplinary Science And Technology
SALARY:Rs.18,000/- + HRA
Last Date:27 Jul 2020
Key Skills: Research Scientist
Company details

National Institute For Interdisciplinary Science And Technology

CSIR - NATIONAL INSTITUTE FOR INTERDISCIPLINARY SCIENCE AND TECHNOLOGY Industrial Estate PO, Pappanamcode, Thiruvananthapuram-695019 Advt. No. : PA/03/2020",1 day ago,www.indeed.co.in/rc/clk?jk=c38575d0a664341c&fccid=2313f0727ee19f31&vjs=3,"₹18,000 a month"
791,"Catalog Quality Associate, English
new",ADCI - Tamil Nadu,"Chennai, Tamil Nadu","Strong working knowledge of basic computer business applications such as MS Word and MS Excel, Outlook.
0 to 24 months of working experience in online retail…","Mandatory -Candidate needs to be a Graduate in any stream

Good communication skills both verbal and written.

The Catalog Quality Operations team at Amazon is looking for highly motivated and talented candidates to participate in auditing and correcting the data in our retail catalog. The ideal candidate must demonstrate strong analytical & communication skills, attention to details, and a commitment to excellence. In addition, the candidate must be proficient in written and verbal English.

Job Description Responsibilities include, but are not limited to:

Follow pre-defined processes, guidelines, and SOPs to perform audit tasks to meet required level of accuracy and productivity.Demonstrate excellent time management skills and ability to work independently while using guidelines and SOPsAbility to make logical decisions while auditing tasks and dealing with ambiguityThoroughly check product details to ensure accuracy and completeness of the dataAnalyze data and identify new trends/patterns to dive business results.Provide feedback to streamline existing processes to help the team achieve more consistent results with high quality.Review authoritative sources to validate catalog data when needed.Identify patterns in browse and audit to be translated into guidelines and SOPs to improve overall audit outcomeMust be flexible to meet business requirements.

0 to 24 months of working experience in online retail operations or similar fields.Proficient in American English.Candidate must demonstrate language proficiency in all the following: verbal, writing, reading and comprehension.Strong working knowledge of basic computer business applications such as MS Word and MS Excel, Outlook.Strong background in web search and familiarity with various ways used for searching for informationGood data analysis skills and great attention to detail OrientedFamiliarity with online retail (e-commerce) and Internet search industriesWillingness to work with sensitive issues, including but not limited to:Adult contentReligious and philosophically sensitive issuesAlcohol, tobacco, weapons and other potentially offensive products",6 days ago,www.indeed.co.in/rc/clk?jk=0817af0158ee7424&fccid=fe2d21eef233e94a&vjs=3,Not mentioned
792,Cashier & computer operator,Ram Babu Jatav (proprietor of Ulimate services),"Ratnagiri, Maharashtra","Prepare and reconcile customer balances.
Gather the information, check the authenticity, designs a format for representation.
Excel knowledge is mandatory.","We are looking back office executive & cashier for leading Bank.
The candidate has to assist and support administrative staff in their day to day operations.
Timing: 9:30am to 4:30pm
Experience/fresher will get hike in salary
No targets
Fixed day shift
Centralize pick and drop

Roles, Responsibilities and skills:
1. Assist and coordinate with sales and marketing teams.
2. Support sales staff in handling and documenting customer accounts.
3. Prepare and reconcile customer balances.
4. Gather the information, check the authenticity, designs a format for representation.
5. Excel knowledge is mandatory.

Skills:
6. 10th, 12th, and any Graduates.
7. FRESHERS ARE MOST WELCOME.
8. Communication skills.
9. Basic computer knowledge.
CONTACT HR. NEHA SHARMA 08375973695",30+ days ago,www.indeed.co.in/rc/clk?jk=8825f9f7aded441f&fccid=d45cd7e17c48425b&vjs=3,"₹3,60,000 - ₹8,10,000 a year"
793,Fresher- Language Editor,BayBalls HR,Not Mentioned,"Company Name: Bayballs HR Pvt Ltd.
Experience: Fresher , Job Location: Work From Home.
O Ability to work in a fast-paced, deadline-driven environment.","Company Name: Bayballs HR Pvt Ltd

Experience: Fresher , Job Location: Work From Home

o Ability to work in a fast-paced, deadline-driven environment
o Excellent written English skills and attention to detail
o Familiarity with MS Word, Excel, and PowerPoint

Required Qualification: Any graduate",30+ days ago,www.indeed.co.in/rc/clk?jk=96b0413c2650d821&fccid=db2f19bc1341e135&vjs=3,Not mentioned
794,RBB-Teller,HDFC Bank,"Rudrapur, Uttarakhand",Ensure quality customer service is delivered Escalate irate customers to Teller Authorizer or BM Recording complaints as per the specified process Resolving all…,"Job Description
A.
Operations: Identify high transacting customers and reduce the transactions of these customers a.
Identify Depleting customers and control them b.
Reduce or improve on Band 1 and Band 2 Customers c.
Reduce Band 1 and Band 2 Txns Handling of cash receipts and payments and ensuring transactions are carried out within the prescribed TAT without errors Cash balancing and Cash bundling Processing of Retail FX postings / Gold sales/Pre Paid Cards Issuance of DD/ MC (within prescribed TAT) Executing of funds transfer/ FD closure / Account Closure Processing of Salary Uploads Custodian for teller box Custodian for cheque drop boxes Ensure error free transactions of receipts & payments.
Retail FX transactions processing.
Vault Custodian Ensure highest level of customer service.
Ensure that outward clearing process is adhered to.
ATM custodian.
Identification of counterfeit cash and ensure adherence of process laid down by the bank B.
Monitoring: Monitor large amount movements and report them as per reporting schedule a.
If more than 1cr ensure updation on the portal.
Identification and Closure of TOD accounts on regular basis Identification and Closure of High Cheque return customers beyond the threshold.
All high cash transacting Band 1 & 2 accounts to be marked with a low severity memo, to ensure that cash transactions are not allowed.
Such customers to be directed to the BM based on f4 hotkey details.
Identification of customers regularly visiting the counter and diverting them to Direct Banking Channels, including customers with high cheque returns, non-maintenance of AQB etc.
Archival back-up Local stationery management - Proper Reorder levels / Indent security stationery at appropriate reorder levels.
Preparation of voucher batch ticket for the day.
Processing and follow up for admin related bills/ payments Periodic exchange of keys lodged with other branch Periodic Checking of Vault Register Management of clearing/ collection cheques/ FCY cheque collections ST35 monitoring.
C.
Reporting: Fortnightly reporting on cash transactions over Rs.
00 lacs Report for any suspicious transactions (also maintain the AML register) FX transaction reporting on time to TAG and Treasury Mumbai before Cutoff time using FX software.
Reporting of suspense accounts, deferred accounts, accounts payable/ receivable, Reconciliation and maintenance of suspense accounts register, as per the required format and filing them Reporting of fortnightly suspense / TOD and QRS reports and filing them.
CBDT schedules reporting to WBO before Cut off times.
D.
Maintenance: Filing of MC/ DD stub copies and cancelled instruments Managing the returned cheques including proper maintenance of registers and customer intimation.
Maintenance of counter stock register (DD/MC) Maintaining Salary uploads confirmations Maintaining Gold Sales Invoice Copies Maintaining Backup tapes Maintain the records for expense vouchers/ payments to vendors/ reimbursement to staff.
Bulk Stock Register Maintenance Printing, checking &Filing; of EOD reports (BJR/ Instruments issued/ EOD cash position etc.
) Maintenance of records/ register for host entry GL209 posting.
Maintenance of Voucher Movement Register Coordinate for binding of records/ sending the same to the vendor on regular intervals.
Ensure correct updation and verification in E-call back E.
Customer Service: Lobby Management Queue handling Proper housekeeping, upkeep, etc.
Ensure quality customer service is delivered Escalate irate customers to Teller Authorizer or BM Recording complaints as per the specified process Resolving all complaints received (self, branch, other units) within the stipulated TATs pertaining to Teller area Monitor all complaints received and ensure that complaints are closed within the TAT Ensure customer communication on closures Check with customers if the process of complaint resolution has been managed well Preventive complaint management Asking for feedback from customers, who may not be complaining Discussing with staff the importance of getting feedback from customers on a regular basis Ensuring timely loading of Forex Plus card and Gift Plus card as per TATs Ensure Outward remittances and Other Retail Forex transactions are reported to Treasury Mid office within Cutoff time in Dealpro F.
Sales: Generate leads for Banks product with the emphasis on the following: Generate Sales References for Liability products Generate leads for Credit Cards Penetration of Saving Accounts on non-liability customers Ensure that customers opt for and get facilities of CBDT collections Cross selling Gold Bars Cross selling Forex Plus card and Gift Plus Card Cross sell FX Cash Generate leads for Third Party Products to the customers (MF/Insurance/RBI Bonds).

Skills
3. NRI Product and Regulatory Knowledge",19 days ago,www.indeed.co.in/rc/clk?jk=aeecf405110fe2f2&fccid=a6fab41a2a4262c5&vjs=3,Not mentioned
795,"Presales Team Member
new",Kinglife Infra Pvt. Ltd.,"Bengaluru, Karnataka","He/she should have pleasing personality and excellent communication skills.
We are looking for a dynamic, high-energy individual.","We are looking for a dynamic, high-energy individual. He/she should have pleasing personality and excellent communication skills.

Technical Skills

Responsible for handling the customers inquiry and coordination with Sales team,
Follow-up with customers.
Client Relationship Management, Handling calls, collecting and updating the database.
Good communication skill.
Handful knowledge in MS Office and other Basics of computer.
Working Days - Six a week (Including Weekends) will be eligible for a one staggered weekly off during weekdays.;
CONTACT INFO
Corporate Office :
Kinglife Infra Pvt. Ltd.
125 Raheja Arcade, Koramangla, Bangalore 560095

Contact No. : +91 888455 6769, 98862 31110
Email Id: info@kinglife.in",Just posted,www.indeed.co.in/rc/clk?jk=84cd48ff10875c25&fccid=3be7d46125b668bf&vjs=3,Not mentioned
796,Receptionist / Front Office,WSD Consultant,India,"Gather personal and insurance information.
Greet visitors warmly and make sure they are comfortable.
Responsible for handling front office reception and…","1 - 5 Years

Job Description
Job Summary
Responsible for handling front office reception and administration duties, including greeting guests and offering them a beverage, answering phones, handling company inquiries, and sorting and distributing mail. Mail also schedule meetings and travel for executives.
Primary responsibilities
Answer phones and operate a switchboard.
Route calls to specific people.
Answer inquiries about company.
Greet visitors warmly and make sure they are comfortable.
Call persons waiting for visitor and book them a room to meet in.
Schedule meetings and conference rooms.
Make coffee and set out food.
Ensure reception area is tidy.
Coordinate mail flow in and out of office.
Coordinate office activities.
Handle phone calls from people calling in sick.
Gather personal and insurance information.
Hand out employee applications.
Arrange appointments.
Cash out people when necessary.
Validate parking tickets.
Give visitors badges and direct them to where they can sign in.
Issue parking passes.
Send email and faxes.
Collect and distribute parcels and other mail.
Perform basic bookkeeping, filing, and clerical duties.
Prepare travel vouchers.
Take and relay messages.
Update appointment calendars.
Schedule follow-up appointments.
Salary 1 Lac 50 Thousand To 2 Lac 50 Thousand P.A.

Industry Front Office / Executive Assistant / Data Entry

Work Experience 1 - 5 Years

Qualification Secondary School


Key Skills
Front office work Receptionist Counselor Front Desk

Company Profile
Contact Person Mr. Pramod Kumar

Address 374, Niti Khand-I, Indirapuram Ghaziabad

Mobile 8506010400

Email ID jobwsd@gmail.com",30+ days ago,www.indeed.co.in/rc/clk?jk=a5c34d333125348c&fccid=c481d5bf263bbb1b&vjs=3,"₹1,50,000 - ₹2,50,000 a year"
797,"Lab Assistant
new",KGMU,"Lucknow, Uttar Pradesh","To Apply for the job posting from KGMU, please click on the Apply Now button below.
Selection will be based on interview.
Last Date: 25-07-2020.","KGMU Recruitment 2020 - Lab Assistant Vacancies - 17,000 Salary - Apply NowKGMU Recruitment 2020-21: Employees State Insurance Corporation (KGMU) announced Job notification to hire candidates who completed 12TH,DMLT for the position of Lab Assistant. To Apply for the job posting from KGMU, please click on the Apply Now button below.Company Name: KGMU
Post Name: Lab Assistant
No of Posts: 1
Salary: 17,000 (Per Month )
Experience: fresher - 4 years
Education: 12TH,DMLT
Location: Lucknow
Last Date: 25-07-2020

Selection Procedure:
Selection will be based on interview. Date & Time of Interview 28-07-2020 from 12:00 PM.

How To Apply:
Applications in given format along with self attested copies of degrees, mark-sheets and experience certificate shall be submitted in the certificates of Department of Pharmacology & Therapeutics, King Georges Medical University, Lucknow, 226003, till 3:00 PM on 2510712020. Interview will be held on given time and date in the Department of Pharmacology & Therapeutics, KGMU, Lucknow. Candidates are directed to report for interview with all relevant documents in original. NO separate call letters shall be issued and no TA/DA shall be paid for attending the Interview .",3 days ago,www.indeed.co.in/rc/clk?jk=a983115120759168&fccid=4329362c334ff970&vjs=3,"₹17,000 a month"
798,ServiceNow Admin,Grazitti,"Panchkula, Haryana","It will be crucial for you to fully analyze and understand user requirements in order to improve system capabilities, automate process workflows, and address…","Description
Job Description

As a ServiceNow admin, you will be responsible for administering, configuring, and scripting the ServiceNow ITSM tool. You will be required to develop technical solutions that meet the business needs of the IT and other departments seeking to use ServiceNow. It will be crucial for you to fully analyze and understand user requirements in order to improve system capabilities, automate process workflows, and address scheduling limitations throughout the development and delivery of the ServiceNow roadmap.

As a leading IT services provider, we are looking for somebody with 1 – 5 years of relevant experience, to join our office in Panchkula.

Skills
Key Skills

ServiceNow
Service Catalog
Responsibilities
Roles and Responsibilities

Manage and resolve incidents against ServiceNow applications.
Manage Instance Security, User/Group Access/Access Control Lists.
Perform routine maintenance that includes performance monitoring and error identification/remediation.
Lead ServiceNow upgrade planning and execution.
Schedule and verify instance clones.
Serve as a subject matter expert to the ServiceNow platform team responsible for analysis, design, development, implementation of modules, and application on the ServiceNow platform.
Support the configuration of application including, but not limited to Service Catalog, Service Portal, Incident, Change, Problem, Knowledge, Release, Asset Management, Configuration Management (CMDB), Project & Portfolio (PPM), Governance, Risk Compliance (GRC), and Reporting/Performance Analytics.
Act as a ServiceNow wizard for maturing platform capabilities and automating administrative tasks such as management of users, groups, and roles.
Transform business and technical requirements into implementation plans, work on document requirements, develop technical specifications, and maintain architecture/integration documentation.
Work with the product team to ensure user stories are developer-ready, easy to understand, and testable.
Formulate a testing approach, develop test cases, and deploy code into production in defined releases.
Formulate and socialize development best practices within ServiceNow, utilize studio and team development features within ServiceNow to maximize productivity and effectiveness.
Analyze, troubleshoot, and fix identified ServiceNow system issues/operational support tickets.
Provide on-call support for ServiceNow production issues.",30+ days ago,www.indeed.co.in/rc/clk?jk=a4e370759583d11d&fccid=6e5568411f933c6e&vjs=3,Not mentioned
799,"Computer operator & Back office
new",Ram Babu Jatav (proprietor of Ulimate services),"Baramula, Jammu and Kashmir","We are looking for Computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he…","We are looking for Computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be operating with delicate information. He will also do filing, copying, and Print Document as required.
Responsibilities: -
â€¢Maintain database on regular basis.
â€¢Scan And Print documents.
â€¢Verify data and correct database.
â€¢Review and verify the entries.
â€¢Give the regular Detail of business.
â€¢Transfer data from PDF formats in system.
â€¢Maintain the records Confidential.
Required Skills and Qualifications: -
â€¢Knowledge of MS Office
â€¢Good typing speed.
â€¢Communication skills-oral and written.
â€¢Any Diploma/Degree 12th with good typing skills.
â€¢Knowledge of Internet Browsing.
â€¢Age - 18 To 28 Yr.
Benefits: -
â€¢No Target
â€¢Fixed Shift
â€¢Parking Free
â€¢Incentives
â€¢Fresherâ€™s Welcome
â€¢Contact Hr. Neha Mishra -07838261012",1 day ago,www.indeed.co.in/rc/clk?jk=f94a18e2d81677f0&fccid=d45cd7e17c48425b&vjs=3,Not mentioned
800,"Junior Architect
new",Signature Sattva,"Gurgaon, Haryana","Assists in conducting preliminary studies of proposed projects to obtain information as to space and design requirements, obtaining measurements and making…","Job Description

Designation
Junior Architect

Level Of the Role
Middle Level

Salary Range
30k-35k

Job Location
Gurgaon (Head Office)

Travel
N.A

Reporting Manager
Manager

We are looking for a junior architect to assist the architect in the preparation of plans and specifications for the construction and/or alteration of buildings.

Roles and Responsibilities

Meets with requesters to determine requirements of projects; determines the feasibility of project and aid in the preparation of preliminary cost estimates.
Performs original design work utilizing specifications, sketches and ideas on developing designs.
Analyzes space utilization effectiveness and changing demands for space needs: recommends actions to meet new requirements.
Assists in compiling data for comprehensive facilities use and feasibility data to be used for campus planning, capital improvement, and long-range planning.
Assists in compiling data for architectural plans, specifications, cost estimates, reports, etc.
Assists in the preparation for plans for existing buildings where plans are not available.
Assists in conducting preliminary studies of proposed projects to obtain information as to space and design requirements, obtaining measurements and making sketches preliminary to the preparation of drawing.
Assists in the preparation of scale drawing of details required for contract drawing.
Assists in preparation of design development drawings.
Assists in the preparation of “record” drawings on completion of construction.
Assists in the preparation of layout and draw a preliminary sketch of the project to present to the client.
Assists in developing and/or coordinating the development of detailed working drawings and specifications after approval for the project has been obtained.
Reviews drawings, specifications, cost estimates and construction material recommendations submitted by outside architects and contractors to ensure adherence to contract and notifies Architect of discrepancies.
Reviews work of the contractor, verifying specified materials are being used, dimensions are as drawn and quality is according to a contract document.
Provides support to Architects and management staff.

Knowledge, Skills, and Abilities:

Knowledge of architecture and architectural principles and techniques.
Knowledge of types of building materials and construction methods.
Knowledge of the methods and techniques of CAD design, Sketchup,3D Software, Photoshop and MS office with basic presentation skills.
Knowledge of structural, mechanical and electrical engineering relating to building costs.
Skill in drafting architectural plans.
Proven work experience as an architect preferably in residential group housing projects (high rise) with 3+ years of work experience",6 days ago,www.indeed.co.in/rc/clk?jk=8e89ebd05b6f44dc&fccid=4f8c83bf204b64fb&vjs=3,"₹30,000 - ₹35,000 a month"
801,"Remote working opportunities in Java, QA, Content writing",Fonantrix,India,"In a short span, we have 3 patents in the USA to our credit and our talented engineers are encouraged every day to think out-of-the-box.","Fonantrix, an incubator to startups is hiring J2EE professionals for its client Webomates.
About Webomates: Webomates, was founded 3 years ago, as an organization that thrives on innovation.
In a short span, we have 3 patents in the USA to our credit and our talented engineers are encouraged every day to think out-of-the-box. Every idea that you come up with is nurtured and nourished to fruition.
Webomates has customers ranging from enterprise customers like Priceline, RackSpace, HSC (Dow Chemicals) to medium-sized companies like TravelTripper, based in New York with over a 100 engineers in India to startups like TMRW and Akila labs.
Webomates is a fast track global company, having its presence in US and now in European market too.
For more information visit us on www.webomates.com
As a growing organization, we are looking for dynamic professionals who have a zeal to innovate, involve in R&D to be a part of our team.
Our Product:
Webomates CQ is an AI-powered, Patented revolutionary SaaS-based regression methodology that enhances the visibility on your build quality before putting it in production.
It does this by significantly reducing the time for regression of feature, API, performance and visual testing to under 24 hours while radically increasing the productivity of customer teams.
Working on over 18 different browser/os/ mobile/native combinations while using crowdsource, automation, artificial intelligence and manual technologies to provide triaged defects, Webomates CQ offers business insurance for customers going into production.
Webomates creates seamless work opportunities for passionate technology driven people. We are a high technology product development company and propagate a culture of trust, accountability and self learning and work-life balance at Webomates.
At Webomates we are eager to work with innovative minds with a zeal to deliver high technology products Work location is no bar. Work with us from anywhere in India.
If you possess experience in
J2EE , min.3 years and good logical and analytical ability
Software Testing experience manual or Automation. Min 3 years of experience.
Digital Content Marketing
Content writing-QA content",30+ days ago,www.indeed.co.in/rc/clk?jk=a61724c9e1dfe7d3&fccid=6df123afd3edcffa&vjs=3,Not mentioned
